Rank,Name,Team,Games,TGTS,REC,PCT,YDS,TD,LNG,YT,YR,RUSH_ATT,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_FUM,RUSH_LST,PPG,FPTS
183,Montrell Washington,DEN,15,9,4,44.4,2,0,4,0.2,0.5,5,30,6,0,5,1,0.3,5.2
184,Penny Hart,SEA,9,4,3,75,20,0,15,5,6.7,0,0,0,0,0,0,0.6,5
185,Jaelon Darden,CLE,14,2,2,100,26,0,25,13,13,1,2,2,0,0,0,0.3,4.8
185,Tyrie Cleveland,DEN,6,7,2,28.6,28,0,16,4,14,0,0,0,0,0,0,0.8,4.8
187,Daylen Baldwin,CLE,1,2,2,100,25,0,15,12.5,12.5,0,0,0,0,0,0,4.5,4.5
187,Bryan Edwards,ATL,7,5,3,60,15,0,10,3,5,0,0,0,0,0,0,0.6,4.5
189,Dezmon Patmon,IND,1,6,2,33.3,24,0,17,4,12,0,0,0,0,0,0,4.4,4.4
189,Dareke Young,SEA,13,2,2,100,24,0,12,12,12,0,0,0,0,0,0,0.3,4.4
191,Andy Isabella,BAL,5,5,2,40,21,0,11,4.2,10.5,1,1,1,0,0,0,0.8,4.2
192,Cade Johnson,SEA,3,4,2,50,21,0,11,5.2,10.5,0,0,0,0,0,0,1.4,4.1
192,Pharoh Cooper,ARI,5,2,2,100,6,0,3,3,3,4,15,3.8,0,0,0,0.8,4.1
194,Lil'Jordan Humphrey,NE,6,4,2,50,20,0,11,5,10,0,0,0,0,0,0,0.7,4
195,Keith Kirkwood,NO,5,4,2,50,18,0,14,4.5,9,0,0,0,0,0,0,0.8,3.8
196,Dennis Houston,DAL,2,6,2,33.3,16,0,11,2.7,8,0,0,0,0,0,0,1.8,3.6
197,Quintez Cephus,DET,4,3,2,66.7,15,0,9,5,7.5,0,0,0,0,0,0,0.9,3.5
198,Nsimba Webster,CHI,2,3,2,66.7,14,0,8,4.7,7,0,0,0,0,1,0,1.7,3.4
199,Austin Trammell,LAR,6,4,2,50,13,0,8,3.2,6.5,0,0,0,0,0,0,0.6,3.3
200,Jalen Tolbert,DAL,8,3,2,66.7,12,0,8,4,6,0,0,0,0,0,0,0.4,3.2
201,Miles Boykin,PIT,16,3,2,66.7,11,0,11,3.7,5.5,0,0,0,0,0,0,0.2,3.1
202,Danny Gray,SF,13,7,1,14.3,10,0,10,1.4,10,1,9,9,0,0,0,0.2,2.9
203,Juwann Winfree,GB,3,4,1,25,17,0,17,4.2,17,0,0,0,0,0,0,0.9,2.7
204,DJ Turner,LV,9,1,0,0,0,0,0,0,0,4,26,6.5,0,1,0,0.3,2.6
205,Frank Darby,ATL,5,1,1,100,15,0,15,15,15,0,0,0,0,0,0,0.5,2.5
206,Tyron Johnson,HOU,4,1,1,100,8,0,8,8,8,0,0,0,0,0,0,0.4,1.8
207,Maurice Alexander,DET,4,1,1,100,7,0,7,7,7,0,0,0,0,0,0,0.4,1.7
207,Jalen Camp,HOU,2,1,1,100,7,0,7,7,7,0,0,0,0,0,0,0.8,1.7
207,Braylon Sanders,MIA,3,3,2,66.7,17,0,13,5.7,8.5,0,0,0,0,1,1,0.6,1.7
210,Jacob Harris,LAR,7,1,1,100,6,0,6,6,6,0,0,0,0,0,0,0.2,1.6
210,C.J. Board,TEN,4,1,1,100,6,0,6,6,6,0,0,0,0,1,0,0.4,1.6
212,Jason Moore Jr.,LAC,6,2,1,50,5,0,5,2.5,5,0,0,0,0,0,0,0.2,1.5
213,Erik Ezukanma,MIA,1,1,1,100,3,0,3,3,3,0,0,0,0,0,0,1.3,1.3
213,Mason Kinsey,TEN,2,1,1,100,3,0,3,3,3,0,0,0,0,1,0,0.6,1.3
213,Deonte Harty,NO,4,2,2,100,13,0,9,6.5,6.5,0,0,0,0,2,1,0.3,1.3
216,Cody White,PIT,1,1,1,100,2,0,2,2,2,0,0,0,0,0,0,1.2,1.2
217,Keke Coutee,IND,8,1,1,100,20,0,20,20,20,0,0,0,0,4,1,0.1,1
218,Ihmir Smith-Marsette,KC,8,4,1,25,15,0,15,3.8,15,1,-1,-1,0,1,1,0,0.4
219,Lance McCutcheon,LAR,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Matthew Slater,NE,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Jared Bernhardt,ATL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Malik Turner,SF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Britain Covey,PHI,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
219,Andre Roberts,CAR,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
219,Rashard Higgins,CAR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Stanley Morgan,CIN,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Tyler Johnson,HOU,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Kaylon Geiger,TB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Raleigh Webb,NE,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Josh Gordon,TEN,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Willie Snead IV,SF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
